<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20181130,000000,276.7484622,276.7484622,272.7086366,275.6313892,4887
20181203,000000,275.6313892,283.6957382,275.6313892,282.1552996,4915
20181204,000000,282.1552996,283.0071316,273.2493203,273.6216780,4912
20181206,000000,273.6216780,273.6216780,262.4968550,268.5004848,4896
20181207,000000,268.5004848,277.4115649,266.3989593,266.8682320,4901
20181210,000000,266.8682320,266.8682320,256.4983259,262.3489321,4891
20181211,000000,262.3489321,266.8427281,259.6557150,262.3744360,4791
20181212,000000,262.3744360,268.5157872,262.3744360,263.3078806,4914
20181213,000000,263.3078806,265.5726314,261.4205883,264.0883015,4909
20181214,000000,262.4662502,263.1191514,256.2585888,257.3807626,4911
20181217,000000,257.3807626,258.8803949,250.7395340,252.3309805,4847
20181218,000000,252.3309805,252.8308579,245.0980603,246.4497696,4911
20181219,000000,246.4497696,251.8106999,241.5071041,243.3076830,4860
20181220,000000,243.3076830,244.1034062,235.0750079,236.4573220,4878
20181221,000000,235.8503280,240.2574106,232.0043324,233.6722907,4873
20181224,000000,233.6722907,233.6722907,224.1950229,224.1950229,2747
20181226,000000,224.1950229,238.6353594,222.4097464,238.6251578,4896
20181227,000000,234.2843855,239.9972703,230.4536922,239.9768671,4832
20181228,000000,239.9768671,241.7009342,236.3144999,237.7886282,4898
20181231,000000,237.7886282,240.7317841,236.1155691,238.9567091,4915
20190102,000000,235.4167609,245.3735030,234.1721681,243.9044754,4913
20190103,000000,243.9044754,245.1745721,238.8036854,241.4816002,4901
20190104,000000,241.4816002,250.8313483,241.4816002,250.4181843,4887
20190107,000000,250.4181843,256.1004643,248.8828465,254.1876681,4907
20190108,000000,254.1876681,258.5539443,254.1876681,256.4983259,4900
20190109,000000,256.4983259,261.3950843,256.4983259,260.4820429,4900
20190110,000000,260.4820429,261.4511930,257.0135057,261.2981693,4908
20190111,000000,261.2981693,261.2981693,257.2634444,259.5383968,4914
20190114,000000,259.5383968,260.0739797,256.7890710,259.1609383,4896
20190115,000000,259.1609383,262.3336297,258.7630767,260.1147861,4916
20190116,000000,259.6404126,261.8796594,258.9467051,259.7373276,4916
20190117,000000,258.4570293,263.2262680,257.1869326,262.2112107,4890
20190118,000000,265.3685998,267.9036924,263.6496335,267.2354889,4909
20190122,000000,264.5881789,264.7054971,260.4208335,260.9564164,4896
20190123,000000,261.7011317,262.3438313,256.2126817,258.2019898,4914
20190124,000000,258.0387645,261.8337523,256.6513496,259.8546458,4916
20190125,000000,261.7062325,264.6646907,261.5175033,263.1038490,4913
20190128,000000,263.1038490,263.1038490,257.5031816,260.3647248,4914
20190129,000000,261.6450231,263.0732443,261.0431298,261.2114559,4911
20190130,000000,261.2114559,265.7715622,261.2114559,264.8432184,4896
20190131,000000,264.8432184,267.6384513,264.2770307,266.2000285,4900
20190201,000000,266.2000285,272.3668836,266.2000285,270.8009411,4908
20190204,000000,270.8009411,271.4589430,266.9498447,271.4436406,4920
20190205,000000,271.4436406,272.3464805,270.2296526,271.5864628,4920
20190206,000000,270.4132811,271.0967869,269.3421152,269.4543325,4918
20190207,000000,269.4543325,269.4543325,261.0278275,263.4711059,4910
20190208,000000,263.4711059,263.4711059,257.0135057,261.5124025,4920
20190211,000000,261.5124025,263.2568727,259.5587999,262.9100190,4918
20190212,000000,262.9100190,267.7047616,262.9100190,266.0929119,4917
20190213,000000,266.0929119,271.6272691,266.0929119,269.5512476,4912
20190214,000000,269.5512476,271.9435181,267.5874434,270.0307218,4901
20190215,000000,270.0307218,274.5143162,270.0307218,274.4837115,4915
20190219,000000,274.4837115,276.4475156,272.7035358,275.3610474,4544
20190220,000000,275.3610474,277.7941242,275.0447984,276.4679188,4909
20190221,000000,276.4679188,276.4679188,270.9794688,271.9333165,4913
20190222,000000,271.9333165,274.7438518,271.4742454,272.8769626,4918
20190225,000000,272.8769626,274.2133696,272.4331939,273.1779092,4903
20190226,000000,273.1779092,274.6163320,271.8006959,271.9027117,4819
20190227,000000,271.9027117,275.7997153,271.5864628,273.0197848,4461
