<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160113,000000,83.4372000,83.4372000,83.4372000,83.4372000,0
20160114,000000,82.7175000,82.7175000,82.7175000,82.7175000,0
20160115,000000,83.1499000,83.1499000,83.1499000,83.1499000,0
20160116,000000,83.2951000,83.2951000,83.2951000,83.2951000,0
20160119,000000,85.6220000,85.6220000,85.6220000,85.6220000,0
20160120,000000,85.2988000,85.2988000,85.2988000,85.2988000,0
20160121,000000,87.0341000,87.0341000,87.0341000,87.0341000,0
20160122,000000,91.1814000,91.1814000,91.1814000,91.1814000,0
20160123,000000,87.2266000,87.2266000,87.2266000,87.2266000,0
20160126,000000,84.1603000,84.1603000,84.1603000,84.1603000,0
20160127,000000,88.8858000,88.8858000,88.8858000,88.8858000,0
20160128,000000,85.8459000,85.8459000,85.8459000,85.8459000,0
20160129,000000,84.1370000,84.1370000,84.1370000,84.1370000,0
20160130,000000,81.9077000,81.9077000,81.9077000,81.9077000,0
20160202,000000,82.8141000,82.8141000,82.8141000,82.8141000,0
20160203,000000,84.9719000,84.9719000,84.9719000,84.9719000,0
20160204,000000,86.5115000,86.5115000,86.5115000,86.5115000,0
20160205,000000,84.8104000,84.8104000,84.8104000,84.8104000,0
20160206,000000,86.5754000,86.5754000,86.5754000,86.5754000,0
20160209,000000,85.6543000,85.6543000,85.6543000,85.6543000,0
20160210,000000,88.0435000,88.0435000,88.0435000,88.0435000,0
20160211,000000,89.2213000,89.2213000,89.2213000,89.2213000,0
20160212,000000,89.3439000,89.3439000,89.3439000,89.3439000,0
20160213,000000,89.8454000,89.8454000,89.8454000,89.8454000,0
20160216,000000,87.1905000,87.1905000,87.1905000,87.1905000,0
20160217,000000,85.0894000,85.0894000,85.0894000,85.0894000,0
20160218,000000,86.9588000,86.9588000,86.9588000,86.9588000,0
20160219,000000,84.0521000,84.0521000,84.0521000,84.0521000,0
20160220,000000,84.9187000,84.9187000,84.9187000,84.9187000,0
20160221,000000,85.8563000,85.8563000,85.8563000,85.8563000,0
20160225,000000,84.0779000,84.0779000,84.0779000,84.0779000,0
20160226,000000,84.2155000,84.2155000,84.2155000,84.2155000,0
20160227,000000,82.9748000,82.9748000,82.9748000,82.9748000,0
20160301,000000,83.1023000,83.1023000,83.1023000,83.1023000,0
20160302,000000,80.5333000,80.5333000,80.5333000,80.5333000,0
20160303,000000,79.9721000,79.9721000,79.9721000,79.9721000,0
20160304,000000,80.2100000,80.2100000,80.2100000,80.2100000,0
20160305,000000,80.1161000,80.1161000,80.1161000,80.1161000,0
20160310,000000,79.4488000,79.4488000,79.4488000,79.4488000,0
20160311,000000,77.9817000,77.9817000,77.9817000,77.9817000,0
20160312,000000,78.4131000,78.4131000,78.4131000,78.4131000,0
20160315,000000,78.1798000,78.1798000,78.1798000,78.1798000,0
20160316,000000,78.3285000,78.3285000,78.3285000,78.3285000,0
20160317,000000,78.7532000,78.7532000,78.7532000,78.7532000,0
20160318,000000,77.1572000,77.1572000,77.1572000,77.1572000,0
20160319,000000,77.1992000,77.1992000,77.1992000,77.1992000,0
20160322,000000,77.4647000,77.4647000,77.4647000,77.4647000,0
20160323,000000,76.1400000,76.1400000,76.1400000,76.1400000,0
20160324,000000,75.6902000,75.6902000,75.6902000,75.6902000,0
20160325,000000,76.9290000,76.9290000,76.9290000,76.9290000,0
20160326,000000,76.4004000,76.4004000,76.4004000,76.4004000,0
20160329,000000,75.6975000,75.6975000,75.6975000,75.6975000,0
20160330,000000,76.8611000,76.8611000,76.8611000,76.8611000,0
20160331,000000,76.5386000,76.5386000,76.5386000,76.5386000,0
20160401,000000,76.9207000,76.9207000,76.9207000,76.9207000,0
20160402,000000,76.4266000,76.4266000,76.4266000,76.4266000,0
20160405,000000,78.1662000,78.1662000,78.1662000,78.1662000,0
20160406,000000,78.2798000,78.2798000,78.2798000,78.2798000,0
20160407,000000,77.8130000,77.8130000,77.8130000,77.8130000,0
20160408,000000,77.3688000,77.3688000,77.3688000,77.3688000,0
20160409,000000,76.6888000,76.6888000,76.6888000,76.6888000,0
20160412,000000,76.4957000,76.4957000,76.4957000,76.4957000,0
20160413,000000,75.8529000,75.8529000,75.8529000,75.8529000,0
20160414,000000,74.6578000,74.6578000,74.6578000,74.6578000,0
20160415,000000,74.7940000,74.7940000,74.7940000,74.7940000,0
20160416,000000,74.3405000,74.3405000,74.3405000,74.3405000,0
20160419,000000,77.1273000,77.1273000,77.1273000,77.1273000,0
20160420,000000,74.3719000,74.3719000,74.3719000,74.3719000,0
20160421,000000,75.0107000,75.0107000,75.0107000,75.0107000,0
20160422,000000,73.4592000,73.4592000,73.4592000,73.4592000,0
20160423,000000,74.6959000,74.6959000,74.6959000,74.6959000,0
20160426,000000,74.9515000,74.9515000,74.9515000,74.9515000,0
20160427,000000,74.9024000,74.9024000,74.9024000,74.9024000,0
20160428,000000,73.8023000,73.8023000,73.8023000,73.8023000,0
20160429,000000,73.9166000,73.9166000,73.9166000,73.9166000,0
20160430,000000,73.3015000,73.3015000,73.3015000,73.3015000,0
20160505,000000,76.0512000,76.0512000,76.0512000,76.0512000,0
20160506,000000,75.5713000,75.5713000,75.5713000,75.5713000,0
20160507,000000,75.5789000,75.5789000,75.5789000,75.5789000,0
20160511,000000,75.5406000,75.5406000,75.5406000,75.5406000,0
20160512,000000,75.4505000,75.4505000,75.4505000,75.4505000,0
20160513,000000,74.1137000,74.1137000,74.1137000,74.1137000,0
20160514,000000,73.6248000,73.6248000,73.6248000,73.6248000,0
20160517,000000,73.4549000,73.4549000,73.4549000,73.4549000,0
20160518,000000,73.1006000,73.1006000,73.1006000,73.1006000,0
20160519,000000,73.3077000,73.3077000,73.3077000,73.3077000,0
20160520,000000,74.2755000,74.2755000,74.2755000,74.2755000,0
20160521,000000,74.4623000,74.4623000,74.4623000,74.4623000,0
20160524,000000,75.2675000,75.2675000,75.2675000,75.2675000,0
20160525,000000,75.0349000,75.0349000,75.0349000,75.0349000,0
20160526,000000,73.4596000,73.4596000,73.4596000,73.4596000,0
20160527,000000,72.8418000,72.8418000,72.8418000,72.8418000,0
20160528,000000,73.8474000,73.8474000,73.8474000,73.8474000,0
20160531,000000,73.4970000,73.4970000,73.4970000,73.4970000,0
20160601,000000,73.4406000,73.4406000,73.4406000,73.4406000,0
20160602,000000,74.2098000,74.2098000,74.2098000,74.2098000,0
20160603,000000,74.8191000,74.8191000,74.8191000,74.8191000,0
20160604,000000,74.5610000,74.5610000,74.5610000,74.5610000,0
20160607,000000,74.6907000,74.6907000,74.6907000,74.6907000,0
20160608,000000,74.1164000,74.1164000,74.1164000,74.1164000,0
20160609,000000,73.5538000,73.5538000,73.5538000,73.5538000,0
20160610,000000,72.5682000,72.5682000,72.5682000,72.5682000,0
20160611,000000,73.1909000,73.1909000,73.1909000,73.1909000,0
20160615,000000,74.3174000,74.3174000,74.3174000,74.3174000,0
20160616,000000,73.9441000,73.9441000,73.9441000,73.9441000,0
20160617,000000,74.2460000,74.2460000,74.2460000,74.2460000,0
20160618,000000,73.5609000,73.5609000,73.5609000,73.5609000,0
20160621,000000,72.7792000,72.7792000,72.7792000,72.7792000,0
20160622,000000,72.7865000,72.7865000,72.7865000,72.7865000,0
20160623,000000,71.8082000,71.8082000,71.8082000,71.8082000,0
20160624,000000,72.9016000,72.9016000,72.9016000,72.9016000,0
20160625,000000,72.6582000,72.6582000,72.6582000,72.6582000,0
20160628,000000,71.9420000,71.9420000,71.9420000,71.9420000,0
20160629,000000,71.7117000,71.7117000,71.7117000,71.7117000,0
20160630,000000,71.2102000,71.2102000,71.2102000,71.2102000,0
20160701,000000,71.2926000,71.2926000,71.2926000,71.2926000,0
20160702,000000,71.0519000,71.0519000,71.0519000,71.0519000,0
20160705,000000,70.8553000,70.8553000,70.8553000,70.8553000,0
20160706,000000,71.6327000,71.6327000,71.6327000,71.6327000,0
20160707,000000,71.5135000,71.5135000,71.5135000,71.5135000,0
20160708,000000,70.9482000,70.9482000,70.9482000,70.9482000,0
20160709,000000,71.1684000,71.1684000,71.1684000,71.1684000,0
20160712,000000,70.8152000,70.8152000,70.8152000,70.8152000,0
