<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160113,000000,83.3220000,83.6360000,81.8480000,83.5030000,476252
20160114,000000,83.5490000,84.2900000,82.4650000,82.9120000,468823
20160115,000000,82.7910000,85.5460000,82.5602000,83.3630000,377170
20160116,000000,84.7270000,84.9490000,84.6043000,84.9490000,41
20160117,000000,85.0940000,85.0940000,85.0940000,85.0940000,1
20160118,000000,85.0260000,86.5730000,84.5620000,86.4220000,349473
20160119,000000,86.4150000,87.6780000,84.7680000,85.6070000,542287
20160120,000000,85.6070000,90.1110000,85.5990000,88.5340000,519324
20160121,000000,88.5340000,93.6900000,88.1820000,89.9293000,530874
20160122,000000,89.9680000,90.3510000,84.1170000,84.1460000,493262
20160123,000000,84.2610000,84.6590000,84.2284000,84.3201000,141
20160124,000000,84.2756000,85.5320000,84.2439000,85.4355000,102
20160125,000000,85.4710000,86.9210000,82.5760000,86.7730000,392066
20160126,000000,86.7730000,89.3510000,83.9160000,84.8380000,459619
20160127,000000,84.9490000,86.3980000,83.5350000,84.5760000,466301
20160128,000000,84.7790000,85.2590000,82.2590000,83.4290000,440114
20160129,000000,83.6090000,84.2030000,81.1930000,81.7260000,439507
20160130,000000,81.7260000,82.3940000,81.6403000,81.7320000,179
20160131,000000,81.2910000,81.7770000,81.2910000,81.7450000,13
20160201,000000,82.6100000,84.3440000,81.5410000,84.1770000,461948
20160202,000000,84.1770000,87.1050000,83.8850000,87.0210000,499709
20160203,000000,87.0210000,88.5290000,84.8710000,85.2660000,512881
20160204,000000,85.2540000,86.3450000,83.7850000,86.0850000,481120
20160205,000000,86.1880000,86.9070000,85.4350000,86.3450000,447333
20160206,000000,86.5620000,86.6500000,86.1070000,86.5300000,19
20160207,000000,86.0220000,86.8680000,86.0220000,86.8300000,26
20160208,000000,86.8320000,88.5280000,84.7640000,87.7470000,467274
20160209,000000,87.5680000,90.3370000,86.0690000,90.0730000,415929
20160210,000000,90.1100000,90.1478000,86.6680000,89.0230000,460880
