<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160113,000000,9.2557000,9.2732000,9.2314000,9.2718300,1108863
20160114,000000,9.2718900,9.3185500,9.2495000,9.2820400,1135683
20160115,000000,9.2827500,9.3971800,9.2686000,9.3731900,1126514
20160116,000000,9.3717600,9.3779000,9.3605900,9.3717000,11910
20160117,000000,9.3655000,9.3655000,9.3615000,9.3618000,13
20160118,000000,9.3675000,9.3750000,9.3296900,9.3491200,979597
20160119,000000,9.3495500,9.3594300,9.2886300,9.3149000,1169376
20160120,000000,9.3143700,9.3871700,9.3025000,9.3533100,1231456
20160121,000000,9.3543600,9.3808000,9.2752000,9.3077600,1323028
20160122,000000,9.3072300,9.3132000,9.2590000,9.2657200,1047425
20160123,000000,9.2654600,9.2860000,9.2583000,9.2837000,12961
20160124,000000,9.2675000,9.2705000,9.2615000,9.2676000,45
20160125,000000,9.2701000,9.2971800,9.2528000,9.2904800,896874
20160126,000000,9.2902200,9.3184300,9.2589000,9.2781000,1056093
20160127,000000,9.2781000,9.3012300,9.2478000,9.2629000,1139304
20160128,000000,9.2629000,9.3210300,9.2488200,9.3075000,1125837
20160129,000000,9.3074000,9.3523800,9.2689000,9.2979600,1151864
20160130,000000,9.2968900,9.2988000,9.2752000,9.2880000,11240
20160131,000000,9.2988000,9.2988000,9.2785000,9.2877500,89
20160201,000000,9.2868000,9.3070000,9.2620000,9.2909000,1022235
20160202,000000,9.2896400,9.3653200,9.2802000,9.3437700,1031401
20160203,000000,9.3437700,9.3909600,9.3214000,9.3644700,934807
20160204,000000,9.3645900,9.4243500,9.3468000,9.4118800,922926
20160205,000000,9.4118800,9.4511000,9.3800000,9.4371500,829681
20160206,000000,9.4371100,9.4464200,9.4191500,9.4210000,11335
20160207,000000,9.4289000,9.4289000,9.4228000,9.4228000,8
20160208,000000,9.4230000,9.4680200,9.3966000,9.4568000,879192
20160209,000000,9.4565800,9.5209900,9.4450000,9.5020300,1004988
20160210,000000,9.5025200,9.5334400,9.4665000,9.4951000,960300
20160211,000000,9.4951000,9.6116700,9.4348000,9.4799400,1047132
20160212,000000,9.4799400,9.4925000,9.4292000,9.4711000,1081201
20160213,000000,9.4711000,9.4765000,9.4457000,9.4735000,9412
20160214,000000,9.4759000,9.4759000,9.4653000,9.4750000,108
20160215,000000,9.4715000,9.4964400,9.4343000,9.4628600,359716
20160216,000000,9.4623000,9.4871500,9.4508000,9.4711800,428574
20160217,000000,9.4720300,9.4969000,9.4452000,9.4710200,482800
20160218,000000,9.4705700,9.4807000,9.3748000,9.3815400,437819
20160219,000000,9.3818000,9.4077300,9.3595800,9.3992200,496109
20160220,000000,9.3994400,9.4052000,9.3914000,9.4040000,6570
20160221,000000,9.4042000,9.4042000,9.3900000,9.3903000,24
20160222,000000,9.3900000,9.4044800,9.3400000,9.3683600,445367
20160223,000000,9.3696500,9.3820000,9.3383000,9.3476800,492881
20160224,000000,9.3469000,9.3870900,9.3340000,9.3494500,396340
20160225,000000,9.3491100,9.4008300,9.3331000,9.3654300,422201
20160226,000000,9.3660000,9.3870300,9.3185000,9.3519200,421547
20160227,000000,9.3522100,9.3655000,9.3447000,9.3655000,3917
20160228,000000,9.3502000,9.3514000,9.3433000,9.3512000,135
20160229,000000,9.3504000,9.3686000,9.3067000,9.3114800,408849
20160301,000000,9.3095000,9.3833100,9.3040000,9.3659500,496393
20160302,000000,9.3656000,9.3760000,9.3329700,9.3571800,549425
20160303,000000,9.3584900,9.3767900,9.3362000,9.3385600,439325
20160304,000000,9.3390000,9.3599300,9.3155000,9.3201000,446523
20160305,000000,9.3204000,9.3341700,9.3135000,9.3248000,5700
