<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170117,000000,3240.0000000,3259.5000000,3208.0000000,3233.0000000,589293
20170118,000000,3240.0000000,3266.0000000,3202.0000000,3224.0000000,627545
20170119,000000,3231.5000000,3239.0000000,3183.5000000,3195.0000000,632204
20170120,000000,3192.5000000,3241.5000000,3177.0000000,3180.0000000,627984
20170123,000000,3190.5000000,3190.5000000,3146.5000000,3176.5000000,419994
20170124,000000,3186.0000000,3203.0000000,3147.5000000,3190.0000000,875856
20170125,000000,3193.0000000,3219.0000000,3154.0000000,3215.0000000,751571
20170126,000000,3219.0000000,3378.5000000,3218.0000000,3376.5000000,1450255
20170127,000000,3371.0000000,3494.0000000,3335.5000000,3486.0000000,1408614
20170130,000000,3472.0000000,3479.5000000,3397.5000000,3408.0000000,657058
20170131,000000,3404.0000000,3424.5000000,3360.0000000,3370.0000000,731195
20170201,000000,3378.0000000,3394.0000000,3346.5000000,3375.0000000,622498
20170202,000000,3377.0000000,3405.0000000,3345.0000000,3364.5000000,605919
20170203,000000,3372.5000000,3387.0000000,3347.5000000,3370.5000000,480506
20170206,000000,3379.0000000,3384.5000000,3316.5000000,3338.0000000,704082
20170207,000000,3330.5000000,3380.0000000,3308.0000000,3379.0000000,441063
20170208,000000,3369.0000000,3377.5000000,3271.0000000,3299.0000000,891092
20170209,000000,3311.0000000,3328.0000000,3256.0000000,3266.5000000,738529
20170210,000000,3276.0000000,3298.0000000,3233.0000000,3245.5000000,667887
20170213,000000,3261.0000000,3279.0000000,3221.0000000,3279.0000000,649558
20170214,000000,3279.0000000,3279.5000000,3239.0000000,3250.0000000,510597
20170215,000000,3241.5000000,3248.0000000,3173.0000000,3211.0000000,778945
20170216,000000,3202.5000000,3233.0000000,3180.0000000,3232.0000000,397987
20170217,000000,3235.0000000,3244.0000000,3168.0000000,3198.5000000,658505
20170220,000000,3209.5000000,3217.5000000,3157.0000000,3180.0000000,477665
20170221,000000,3172.5000000,3218.5000000,3161.0000000,3199.5000000,434503
20170222,000000,3208.0000000,3215.0000000,3149.0000000,3175.5000000,637908
20170224,000000,3174.0000000,3185.0000000,3127.5000000,3184.0000000,294299
20170227,000000,3180.0000000,3189.0000000,3115.0000000,3135.0000000,547610
20170228,000000,3137.0000000,3145.0000000,3077.5000000,3086.0000000,884673
20170301,000000,3086.5000000,3137.0000000,3076.5000000,3120.0000000,568080
