<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160113,000000,10400.0000000,10515.0000000,10323.0000000,10352.0000000,131260
20160114,000000,10325.0000000,10329.0000000,10021.0000000,10230.0000000,184962
20160115,000000,10214.0000000,10225.0000000,9555.0000000,9640.0000000,285150
20160118,000000,9584.0000000,9940.0000000,9251.0000000,9940.0000000,162027
20160119,000000,10040.0000000,10530.0000000,9990.0000000,10427.0000000,176486
20160120,000000,10299.0000000,10427.0000000,10105.0000000,10350.0000000,252378
20160121,000000,10410.0000000,10971.0000000,10381.0000000,10850.0000000,271957
20160122,000000,11058.0000000,11100.0000000,10729.0000000,11050.0000000,257948
20160125,000000,11080.0000000,11080.0000000,10861.0000000,11042.0000000,140480
20160126,000000,10959.0000000,11080.0000000,10911.0000000,10975.0000000,140337
20160127,000000,11023.0000000,11285.0000000,10982.0000000,11285.0000000,120360
20160128,000000,11252.0000000,11662.0000000,11252.0000000,11485.0000000,186969
20160129,000000,11501.0000000,11720.0000000,11400.0000000,11500.0000000,172816
20160201,000000,11532.0000000,11674.0000000,11258.0000000,11270.0000000,104967
20160202,000000,11230.0000000,11470.0000000,11094.0000000,11150.0000000,159142
20160203,000000,11082.0000000,11200.0000000,10928.0000000,10955.0000000,95307
20160204,000000,11110.0000000,11299.0000000,10805.0000000,10889.0000000,122208
20160205,000000,10905.0000000,11000.0000000,10673.0000000,10765.0000000,123930
20160208,000000,10829.0000000,10854.0000000,10363.0000000,10450.0000000,154115
20160209,000000,10412.0000000,10485.0000000,10000.0000000,10103.0000000,255307
20160210,000000,10024.0000000,10220.0000000,10005.0000000,10070.0000000,175864
20160211,000000,10090.0000000,10198.0000000,9710.0000000,10143.0000000,258425
20160212,000000,10203.0000000,10290.0000000,9977.0000000,10000.0000000,213428
20160215,000000,10150.0000000,10151.0000000,9840.0000000,9920.0000000,170362
20160216,000000,10001.0000000,10058.0000000,9865.0000000,9900.0000000,131876
20160217,000000,9933.0000000,10052.0000000,9732.0000000,10000.0000000,248690
20160218,000000,10050.0000000,10362.0000000,10005.0000000,10318.0000000,263029
20160219,000000,10264.0000000,10415.0000000,10200.0000000,10354.0000000,168436
20160220,000000,10364.0000000,10408.0000000,10310.0000000,10346.0000000,27466
20160222,000000,10379.0000000,10718.0000000,10320.0000000,10655.0000000,132068
20160224,000000,10574.0000000,10675.0000000,10356.0000000,10475.0000000,177103
20160225,000000,10511.0000000,10659.0000000,10350.0000000,10530.0000000,158780
20160226,000000,10620.0000000,10799.0000000,10526.0000000,10589.0000000,169758
20160229,000000,10502.0000000,10680.0000000,10430.0000000,10648.0000000,138667
20160301,000000,10680.0000000,10780.0000000,10525.0000000,10592.0000000,115369
20160302,000000,10650.0000000,10740.0000000,10601.0000000,10695.0000000,104595
20160303,000000,10699.0000000,10808.0000000,10631.0000000,10715.0000000,135626
20160304,000000,10716.0000000,10799.0000000,10640.0000000,10668.0000000,81966
20160307,000000,10708.0000000,10758.0000000,10662.0000000,10715.0000000,60500
