<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20181204,000000,1669.9500000,1683.5000000,1666.9100000,1674.9700000,1495584817
20181205,000000,1666.4800000,1677.0100000,1663.0400000,1666.5800000,1102774143
20181206,000000,1661.3100000,1665.2600000,1647.8900000,1652.3700000,1020954749
20181207,000000,1654.9500000,1661.2000000,1643.1700000,1643.7100000,1223990649
20181210,000000,1639.5000000,1648.1200000,1638.5800000,1638.8800000,832786135
20181211,000000,1638.5600000,1648.4200000,1636.5400000,1641.8900000,1446690142
20181212,000000,1646.2300000,1646.5200000,1627.0800000,1627.0800000,1095495167
20181213,000000,1629.2000000,1639.6000000,1627.5900000,1631.1700000,1054102702
20181214,000000,1630.4400000,1630.8700000,1616.3300000,1619.2900000,805612865
20181217,000000,1611.6900000,1615.9400000,1606.4200000,1611.4300000,1178818578
20181218,000000,1606.1200000,1606.1200000,1599.8300000,1604.0500000,1009097899
20181219,000000,1600.7600000,1612.9700000,1600.2300000,1606.1300000,1530448215
20181220,000000,1602.6700000,1605.9700000,1595.4600000,1602.0900000,1474202962
20181221,000000,1599.8400000,1604.9100000,1595.0300000,1599.4200000,1527993547
20181224,000000,1596.7600000,1603.9900000,1596.7600000,1601.2700000,651637237
20181225,000000,1591.6700000,1594.5300000,1570.6300000,1594.5300000,896445802
20181226,000000,1597.6100000,1599.2900000,1589.8300000,1593.8600000,612801334
20181227,000000,1603.9900000,1604.7700000,1588.3700000,1589.8100000,1154169727
20181228,000000,1593.1800000,1601.8000000,1591.2900000,1594.1200000,802426331
20181229,000000,1596.3600000,1610.5900000,1595.8300000,1608.1500000,512657292
20190103,000000,1607.6800000,1621.0000000,1602.9400000,1617.7500000,704244862
20190104,000000,1620.8300000,1627.4900000,1618.1800000,1624.9800000,628291169
20190108,000000,1623.0200000,1628.2000000,1613.1500000,1615.4400000,688761442
20190109,000000,1619.1800000,1636.0900000,1618.1400000,1635.9200000,1090030965
20190110,000000,1636.0900000,1650.6800000,1631.3800000,1648.8900000,1114858442
20190111,000000,1650.0700000,1662.0100000,1648.4700000,1661.4700000,1439868814
20190114,000000,1662.1800000,1662.2900000,1651.4100000,1658.6900000,753670856
20190115,000000,1661.0600000,1663.4100000,1655.0800000,1662.2700000,929674559
20190116,000000,1662.0900000,1686.6100000,1661.3200000,1682.8300000,1263850774
20190117,000000,1682.6700000,1693.0300000,1678.6000000,1693.0300000,1196155345
20190118,000000,1691.8500000,1698.2500000,1685.4500000,1693.2600000,1337438334
20190121,000000,1696.0600000,1697.7500000,1689.2100000,1691.1100000,836399527
20190122,000000,1691.6500000,1691.6500000,1672.6600000,1686.9100000,1768389637
20190123,000000,1686.7500000,1721.6400000,1686.7500000,1714.3300000,4297103321
20190124,000000,1709.1100000,1723.4300000,1706.7200000,1720.7300000,2417312124
20190125,000000,1721.5100000,1729.9600000,1721.3100000,1729.9600000,1179335417
20190128,000000,1731.2300000,1732.5800000,1710.3400000,1710.8700000,840983123
20190129,000000,1711.7800000,1717.7700000,1705.5300000,1715.9100000,869657232
