<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20181204,000000,7151.7200000,7225.7700000,7129.7300000,7225.7700000,14648437767
20181205,000000,7142.7200000,7270.0200000,7122.4200000,7270.0200000,13222100249
20181206,000000,7202.9400000,7229.9300000,7105.2300000,7181.6600000,17991809457
20181207,000000,7185.0400000,7260.8100000,7166.0900000,7231.5200000,18463869617
20181210,000000,7190.5900000,7229.3900000,7115.9900000,7125.7500000,11712656566
20181211,000000,7130.8200000,7147.0100000,7070.2900000,7109.6700000,13112208908
20181212,000000,7104.4300000,7110.0900000,7010.1300000,7011.5800000,14237029120
20181213,000000,7026.3900000,7031.9600000,6947.6100000,7007.7300000,12801966959
20181214,000000,7001.7900000,7027.1000000,6955.6400000,7002.8000000,9161370390
20181217,000000,6989.0100000,7034.8100000,6966.4300000,6980.9800000,9497666665
20181218,000000,6929.4100000,6933.0800000,6845.0600000,6916.2500000,17564029790
20181219,000000,6875.7800000,6921.2900000,6848.8300000,6914.7600000,12928912075
20181220,000000,6820.4400000,6884.5600000,6784.3700000,6884.5600000,17401576572
20181221,000000,6856.4400000,6892.0500000,6830.4100000,6872.8600000,21620954670
20181224,000000,6872.7800000,6884.0300000,6798.9800000,6823.5500000,6886837538
20181225,000000,6763.2100000,6763.2100000,6641.1100000,6734.9700000,5397730527
20181226,000000,6766.6100000,6822.6800000,6751.2400000,6805.3900000,3713175869
20181227,000000,6894.6600000,6894.6600000,6844.7400000,6862.2100000,10392300554
20181228,000000,6901.3900000,6992.5900000,6879.3200000,6962.9400000,9074760867
20181229,000000,6978.4600000,7020.8700000,6955.9100000,7018.0000000,1788931720
20190103,000000,6982.2800000,7030.7800000,6949.1000000,7000.7900000,8562531760
20190104,000000,7015.3400000,7082.1700000,7014.5900000,7082.1700000,7120575962
20190108,000000,7019.4700000,7041.3400000,6952.0000000,6996.7800000,11511729024
20190109,000000,7019.5200000,7038.9400000,6993.1400000,7018.4900000,11325427166
20190110,000000,7003.7100000,7107.6300000,6966.9400000,7107.6300000,11499624424
20190111,000000,7108.1000000,7135.0900000,7082.1900000,7130.1800000,10660606801
20190114,000000,7089.5600000,7118.3800000,7057.4600000,7118.3800000,7703077478
20190115,000000,7135.1600000,7168.6300000,7056.1500000,7107.1000000,11453829560
20190116,000000,7116.4800000,7116.9600000,7050.7400000,7064.2100000,10051134864
20190117,000000,7065.1300000,7084.3200000,7016.8500000,7084.3200000,11042241809
20190118,000000,7102.9500000,7135.7100000,7075.3900000,7135.7100000,11194023042
20190121,000000,7146.6200000,7151.3300000,7113.6900000,7119.0800000,6328678241
20190122,000000,7093.7800000,7119.6500000,7071.4800000,7119.6500000,11031826592
20190123,000000,7114.6000000,7196.7800000,7111.8400000,7196.7800000,9718066692
20190124,000000,7170.5300000,7176.3300000,7070.5000000,7111.8800000,17070053892
20190125,000000,7135.1200000,7198.2700000,7122.0600000,7198.2700000,12140424261
20190128,000000,7185.1700000,7201.6300000,7131.6500000,7150.1100000,11406314643
20190129,000000,7140.6600000,7218.7200000,7118.2400000,7214.8200000,11059648678
20190130,000000,7205.5200000,7265.6400000,7196.5700000,7265.6400000,11048101571
20190131,000000,7302.4300000,7306.6800000,7241.8400000,7250.8500000,14685801959
20190201,000000,7241.6300000,7294.4700000,7224.1200000,7247.7500000,11268202675
20190204,000000,7252.2600000,7307.4800000,7233.1100000,7264.2500000,8232232988
20190205,000000,7277.7300000,7359.2200000,7260.9300000,7349.6400000,10669854761
20190206,000000,7361.0500000,7361.0500000,7297.8400000,7303.3000000,8455554036
20190207,000000,7277.7800000,7304.3000000,7221.7800000,7233.6000000,10713330274
20190208,000000,7192.0700000,7234.0600000,7184.8000000,7198.6000000,9100204175
