<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160113,000000,240.8000000,243.5000000,238.3000000,239.6000000,3972470
20160114,000000,238.0000000,239.8500000,234.3000000,237.6500000,4019240
20160115,000000,236.7500000,240.0000000,229.5000000,232.1000000,7233780
20160118,000000,229.5000000,234.9000000,229.0500000,232.0000000,4383680
20160119,000000,233.8500000,239.0500000,233.8500000,236.0500000,4617090
20160120,000000,234.0000000,234.3500000,228.3000000,231.9000000,6081600
20160121,000000,232.1000000,238.8000000,231.7500000,237.5000000,5050440
20160122,000000,241.2500000,252.4000000,239.7000000,250.4000000,10115460
20160125,000000,251.4500000,255.2000000,246.2500000,255.0000000,6754790
20160126,000000,251.8500000,256.9000000,251.6500000,255.9000000,7377030
20160127,000000,255.5000000,264.4000000,254.6000000,264.4000000,6259590
20160128,000000,263.7000000,268.9000000,263.6000000,267.3500000,7946880
20160129,000000,268.6000000,272.4500000,263.3500000,272.4500000,8072780
20160201,000000,272.2500000,272.4500000,266.4000000,269.8000000,4342510
20160202,000000,268.6500000,274.2000000,267.7500000,271.8000000,5147180
20160203,000000,270.0500000,275.9500000,268.2000000,273.1000000,4375870
20160204,000000,278.8000000,284.8500000,276.7500000,283.0000000,6060110
20160205,000000,281.3500000,286.5000000,279.0500000,281.5500000,6853670
20160208,000000,281.5500000,282.2000000,273.3000000,276.0500000,6343940
20160209,000000,272.0500000,276.3500000,265.4500000,268.6000000,8107890
20160210,000000,265.9000000,269.0000000,262.3000000,265.5000000,5808400
20160211,000000,264.1500000,266.4000000,259.7000000,264.8500000,4288310
20160212,000000,267.3500000,271.6500000,266.5500000,270.7000000,3828590
20160215,000000,273.3500000,273.8000000,269.6000000,271.0000000,2862860
20160216,000000,272.1000000,279.6500000,271.3000000,277.4000000,6872410
20160217,000000,277.2000000,280.9500000,276.0500000,279.9000000,2822610
20160218,000000,281.5000000,283.8500000,279.4000000,283.3500000,5003280
20160219,000000,280.5000000,281.0500000,275.3000000,278.4000000,3327520
20160220,000000,279.0000000,279.9000000,276.6500000,276.9500000,519680
20160222,000000,277.8500000,286.2000000,277.5000000,285.0000000,4167330
20160224,000000,281.9500000,283.8000000,279.1500000,281.7000000,3741520
20160225,000000,283.6500000,284.6000000,277.1500000,279.5000000,3977830
20160226,000000,281.8000000,284.9000000,281.6000000,283.3000000,5385370
20160229,000000,282.2500000,287.6000000,279.7000000,287.6000000,7096580
20160301,000000,286.8000000,290.5000000,286.0000000,289.9000000,4212740
20160302,000000,290.7500000,291.7000000,285.1000000,287.0000000,3117010
20160303,000000,287.9000000,295.0000000,287.1500000,294.2500000,5069770
20160304,000000,294.5000000,302.2500000,292.6500000,302.2500000,6925130
20160307,000000,303.7500000,304.4000000,297.6500000,301.0000000,3870030
20160309,000000,298.2000000,301.8000000,295.1500000,296.0000000,6058300
20160310,000000,296.7000000,302.1500000,294.6000000,301.5500000,6307440
20160311,000000,302.3000000,304.2500000,299.0000000,301.6000000,7699370
20160314,000000,301.3000000,301.6000000,298.6500000,301.0500000,3967290
20160315,000000,302.4000000,303.6000000,298.6000000,300.6000000,6668270
20160316,000000,300.7500000,301.4500000,297.5500000,301.2500000,4108680
20160317,000000,302.0000000,309.8500000,300.5000000,309.4000000,8809000
20160318,000000,309.4000000,320.0000000,306.4500000,315.5500000,9445580
20160321,000000,314.0000000,314.9000000,310.1000000,313.0000000,3991840
20160322,000000,313.7000000,322.7500000,312.4000000,320.3500000,7052630
20160323,000000,317.9000000,317.9500000,307.3500000,309.2000000,6816500
20160324,000000,307.6000000,308.8000000,302.3500000,304.8000000,5195500
20160325,000000,306.3500000,307.4500000,303.7500000,304.5000000,1880770
20160328,000000,306.4000000,308.1000000,300.6500000,302.5000000,2339960
20160329,000000,302.6000000,302.6000000,293.2500000,296.4000000,7417070
20160330,000000,298.5000000,307.9500000,297.0500000,307.8000000,5588170
20160331,000000,305.9000000,307.5000000,302.5500000,305.2000000,6261610
20160401,000000,302.7500000,304.9500000,297.2000000,301.8000000,4813420
20160404,000000,300.9500000,310.0000000,299.8500000,309.5000000,6647370
20160405,000000,307.4500000,308.3500000,305.0000000,306.2000000,2824530
20160406,000000,307.9500000,311.5000000,306.2500000,309.0500000,3823840
20160407,000000,310.2000000,312.9000000,303.9000000,306.8000000,4364890
20160408,000000,306.8000000,316.5000000,306.0000000,316.5000000,5659800
20160411,000000,316.5500000,329.2000000,314.2000000,325.0000000,8000550
20160412,000000,325.0000000,325.9500000,317.4500000,320.0000000,5733370
20160413,000000,321.1000000,326.9000000,319.1000000,322.3000000,4781420
20160414,000000,321.0000000,325.1500000,310.1000000,313.6000000,6624620
20160415,000000,313.6500000,313.8000000,306.6000000,309.7500000,5448090
20160418,000000,304.0000000,308.0000000,300.3500000,303.9000000,7455800
20160419,000000,305.5000000,314.6000000,304.7000000,311.7500000,9230390
20160420,000000,309.8500000,323.5500000,306.4000000,322.0500000,10351150
20160421,000000,324.4000000,325.3000000,317.7500000,323.0000000,7606790
20160422,000000,323.0000000,324.8500000,319.3500000,322.1000000,4046730
20160425,000000,322.0000000,328.9500000,320.5500000,326.9000000,5246430
20160426,000000,326.9000000,332.9000000,326.0000000,331.8500000,5442940
20160427,000000,332.9500000,339.4000000,331.3000000,334.9500000,7949810
20160428,000000,334.4000000,341.7500000,333.2000000,341.7500000,4857470
20160429,000000,340.7000000,351.7500000,338.5000000,351.0000000,9223850
20160504,000000,346.6500000,356.9500000,341.0000000,346.0000000,7143280
20160505,000000,346.2000000,346.2000000,335.6500000,336.5000000,5335510
20160506,000000,335.8000000,337.1500000,326.3000000,329.0000000,5167390
20160510,000000,327.8000000,328.9000000,319.5500000,323.5000000,4261580
20160511,000000,326.4000000,329.6000000,323.5500000,324.6000000,4182980
20160512,000000,326.3000000,326.8500000,318.4500000,319.0000000,4076110
20160513,000000,320.5000000,323.2000000,313.0000000,322.6500000,4489630
20160516,000000,323.1500000,327.0000000,321.2500000,322.6000000,4521640
20160517,000000,323.9000000,323.9500000,314.1500000,322.1000000,3937460
20160518,000000,320.1000000,329.5000000,320.0000000,329.5000000,3701850
20160519,000000,326.0000000,332.8000000,324.6000000,330.0000000,4285990
20160520,000000,333.0000000,333.8500000,322.8500000,324.6500000,4513170
20160523,000000,323.0500000,324.0000000,311.5500000,313.1000000,6381330
20160524,000000,313.1000000,318.6500000,312.1000000,317.0000000,2438830
20160525,000000,319.5500000,323.4500000,317.5500000,318.0000000,3735850
20160526,000000,321.3000000,327.0000000,318.5500000,320.1500000,5708530
20160527,000000,321.0000000,323.3500000,314.9000000,320.6000000,4171210
20160530,000000,320.5500000,324.6000000,318.0000000,322.0000000,1451700
20160531,000000,322.5000000,323.1500000,315.8500000,316.0000000,3319260
20160601,000000,316.1500000,316.6500000,309.5000000,313.0000000,4577150
20160602,000000,312.8000000,316.5000000,309.7500000,311.3500000,3804150
20160603,000000,313.5500000,319.0000000,312.0000000,314.7500000,3713380
20160606,000000,314.9000000,324.9500000,314.9000000,323.8500000,3888870
20160607,000000,324.9000000,329.9000000,321.5500000,328.8500000,6645790
20160608,000000,327.9000000,342.9500000,327.1500000,342.5000000,7206020
20160609,000000,342.6500000,344.9500000,338.5000000,343.5000000,4676140
20160610,000000,342.7000000,343.0000000,337.0000000,337.8500000,3130800
20160614,000000,335.1000000,337.0000000,323.4000000,324.8000000,5986780
20160615,000000,324.8500000,327.7500000,320.3000000,322.8500000,5381390
20160616,000000,321.0000000,322.0000000,311.7000000,316.3000000,4515500
20160617,000000,319.0000000,323.4500000,316.7500000,320.6500000,4307340
20160620,000000,325.5000000,336.0000000,324.0000000,336.0000000,4759810
20160621,000000,336.0000000,342.0000000,334.2000000,340.9500000,6067940
20160622,000000,344.9500000,345.8500000,337.0000000,337.7500000,3608460
20160623,000000,336.4500000,348.0000000,334.6000000,348.0000000,4802550
20160624,000000,329.9000000,336.0000000,326.3000000,333.6500000,7369070
20160627,000000,333.7000000,335.6000000,325.7500000,328.0500000,5606160
20160628,000000,331.4000000,333.9500000,324.0000000,327.0000000,4278420
20160629,000000,327.9500000,332.8000000,324.3500000,331.5000000,3522060
20160630,000000,330.0000000,331.4500000,327.4500000,330.0000000,3991810
20160701,000000,329.3500000,335.5000000,327.5000000,332.4500000,2649640
20160704,000000,334.5000000,336.0000000,330.1000000,331.2000000,1912000
20160705,000000,329.8500000,330.5000000,327.7000000,329.4000000,3499070
20160706,000000,328.0000000,329.9000000,318.5000000,320.5000000,3912850
20160707,000000,322.1500000,327.3500000,320.8000000,320.9000000,2980220
20160708,000000,319.5000000,326.4000000,316.5500000,325.0000000,4044950
20160711,000000,325.6000000,329.0000000,324.4500000,328.3500000,2418740
20160712,000000,328.3500000,340.3500000,327.0000000,339.4000000,4561380
