<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160113,000000,1940.3400000,1950.3000000,1886.4100000,1890.2800000,19371
20160114,000000,1891.6800000,1934.4700000,1879.0700000,1921.8400000,19115
20160115,000000,1916.6800000,1916.6800000,1857.8300000,1880.3300000,20060
20160119,000000,1888.6600000,1901.4400000,1864.6000000,1881.3300000,19300
20160120,000000,1876.1800000,1876.1800000,1812.2900000,1859.3300000,20798
20160121,000000,1861.4600000,1889.8500000,1848.9800000,1868.9900000,19860
20160122,000000,1877.4000000,1908.8500000,1877.4000000,1906.9000000,18358
20160125,000000,1906.2800000,1906.2800000,1875.9700000,1877.0800000,16986
20160126,000000,1878.7900000,1906.7300000,1878.7900000,1903.6300000,17973
20160127,000000,1902.5200000,1916.9900000,1872.7000000,1882.9500000,17849
20160128,000000,1895.3500000,1902.9600000,1873.6500000,1893.3600000,18943
20160129,000000,1895.3600000,1940.2400000,1895.3600000,1940.2400000,17754
20160201,000000,1936.9400000,1947.2000000,1920.3000000,1939.3800000,17737
20160202,000000,1932.3400000,1932.3400000,1897.2900000,1903.0300000,18609
20160203,000000,1910.0800000,1918.0100000,1872.2300000,1912.5300000,19999
20160204,000000,1911.1200000,1927.3500000,1900.5200000,1915.4500000,18614
20160205,000000,1913.0700000,1913.0700000,1872.6500000,1880.0500000,19163
20160208,000000,1873.2500000,1873.2500000,1828.4600000,1853.4400000,19485
20160209,000000,1845.7500000,1868.2500000,1834.9400000,1852.2100000,18673
20160210,000000,1857.1000000,1881.6000000,1850.3200000,1851.8600000,18649
20160211,000000,1842.3500000,1842.3500000,1810.1000000,1829.0800000,19553
20160212,000000,1835.3400000,1864.7800000,1835.3400000,1864.7800000,17835
20160216,000000,1871.4400000,1895.7400000,1871.4400000,1895.5800000,17057
20160217,000000,1898.8000000,1930.6800000,1898.8000000,1926.8200000,17168
20160218,000000,1928.7800000,1930.0000000,1915.0900000,1917.8300000,17129
20160219,000000,1916.7400000,1918.7800000,1902.1700000,1917.7800000,16365
20160222,000000,1927.6200000,1946.7000000,1927.6200000,1945.5000000,15783
20160223,000000,1942.3800000,1942.3800000,1919.4400000,1921.2700000,16247
20160224,000000,1910.0500000,1932.0800000,1891.0200000,1929.8000000,13946
20160225,000000,1933.3700000,1951.8300000,1925.4100000,1951.7000000,15643
20160226,000000,1954.9500000,1962.9600000,1945.7800000,1948.0500000,16806
20160229,000000,1947.1300000,1958.2700000,1931.8100000,1932.2300000,16286
20160301,000000,1937.0900000,1978.3500000,1937.0900000,1978.3500000,16298
20160302,000000,1976.6000000,1986.5100000,1968.8000000,1986.4500000,16329
20160303,000000,1985.6000000,1993.6900000,1977.3700000,1993.4000000,15886
20160304,000000,1994.0100000,2009.1300000,1986.7700000,1999.9900000,16883
20160307,000000,1996.1100000,2006.1200000,1989.3800000,2001.7600000,15472
20160308,000000,1996.8800000,1996.8800000,1977.4300000,1979.2600000,16673
20160309,000000,1981.4400000,1992.6900000,1979.8400000,1989.2600000,16073
20160310,000000,1990.9700000,2005.0700000,1969.2500000,1989.5700000,16783
20160311,000000,1995.9300000,2022.3400000,1995.9300000,2022.1900000,15132
20160314,000000,2018.7300000,2024.5700000,2012.0500000,2019.6400000,14749
20160315,000000,2014.0000000,2015.9400000,2005.2300000,2015.9300000,14993
20160316,000000,2014.2400000,2032.0200000,2010.0400000,2027.2200000,16699
20160317,000000,2026.9000000,2046.2400000,2022.1600000,2040.5900000,16149
20160318,000000,2041.1600000,2052.3600000,2041.1600000,2049.5800000,15848
20160321,000000,2047.8800000,2053.9100000,2043.1400000,2051.6000000,15497
20160322,000000,2048.6400000,2056.6000000,2040.5700000,2049.8000000,14723
20160323,000000,2048.5500000,2048.5500000,2034.8600000,2036.7100000,15510
20160324,000000,2032.4800000,2036.0400000,2022.4900000,2035.9400000,14935
