<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160113,000000,76.6041000,76.6041000,76.6041000,76.6041000,0
20160114,000000,76.4275000,76.4275000,76.4275000,76.4275000,0
20160115,000000,76.5230000,76.5230000,76.5230000,76.5230000,0
20160116,000000,76.5650000,76.5650000,76.5650000,76.5650000,0
20160119,000000,78.6678000,78.6678000,78.6678000,78.6678000,0
20160120,000000,78.4862000,78.4862000,78.4862000,78.4862000,0
20160121,000000,79.4614000,79.4614000,79.4614000,79.4614000,0
20160122,000000,83.5913000,83.5913000,83.5913000,83.5913000,0
20160123,000000,80.5714000,80.5714000,80.5714000,80.5714000,0
20160126,000000,77.7965000,77.7965000,77.7965000,77.7965000,0
20160127,000000,81.8394000,81.8394000,81.8394000,81.8394000,0
20160128,000000,78.9969000,78.9969000,78.9969000,78.9969000,0
20160129,000000,77.3674000,77.3674000,77.3674000,77.3674000,0
20160130,000000,75.1723000,75.1723000,75.1723000,75.1723000,0
20160202,000000,76.3264000,76.3264000,76.3264000,76.3264000,0
20160203,000000,77.9273000,77.9273000,77.9273000,77.9273000,0
20160204,000000,79.2593000,79.2593000,79.2593000,79.2593000,0
20160205,000000,76.4609000,76.4609000,76.4609000,76.4609000,0
20160206,000000,77.3409000,77.3409000,77.3409000,77.3409000,0
20160209,000000,76.8614000,76.8614000,76.8614000,76.8614000,0
20160210,000000,78.6805000,78.6805000,78.6805000,78.6805000,0
20160211,000000,79.0689000,79.0689000,79.0689000,79.0689000,0
20160212,000000,79.1144000,79.1144000,79.1144000,79.1144000,0
20160213,000000,79.4951000,79.4951000,79.4951000,79.4951000,0
20160216,000000,77.7792000,77.7792000,77.7792000,77.7792000,0
20160217,000000,76.2450000,76.2450000,76.2450000,76.2450000,0
20160218,000000,77.8503000,77.8503000,77.8503000,77.8503000,0
20160219,000000,75.4575000,75.4575000,75.4575000,75.4575000,0
20160220,000000,76.3657000,76.3657000,76.3657000,76.3657000,0
20160221,000000,77.1326000,77.1326000,77.1326000,77.1326000,0
20160225,000000,76.3928000,76.3928000,76.3928000,76.3928000,0
20160226,000000,76.3929000,76.3929000,76.3929000,76.3929000,0
20160227,000000,75.0903000,75.0903000,75.0903000,75.0903000,0
20160301,000000,75.8994000,75.8994000,75.8994000,75.8994000,0
20160302,000000,74.0536000,74.0536000,74.0536000,74.0536000,0
20160303,000000,73.6256000,73.6256000,73.6256000,73.6256000,0
20160304,000000,73.8242000,73.8242000,73.8242000,73.8242000,0
20160305,000000,73.1854000,73.1854000,73.1854000,73.1854000,0
20160310,000000,72.3775000,72.3775000,72.3775000,72.3775000,0
20160311,000000,71.0928000,71.0928000,71.0928000,71.0928000,0
20160312,000000,70.3067000,70.3067000,70.3067000,70.3067000,0
20160315,000000,70.1542000,70.1542000,70.1542000,70.1542000,0
20160316,000000,70.5408000,70.5408000,70.5408000,70.5408000,0
20160317,000000,71.0256000,71.0256000,71.0256000,71.0256000,0
20160318,000000,68.5598000,68.5598000,68.5598000,68.5598000,0
20160319,000000,68.4026000,68.4026000,68.4026000,68.4026000,0
20160322,000000,68.8086000,68.8086000,68.8086000,68.8086000,0
20160323,000000,67.7764000,67.7764000,67.7764000,67.7764000,0
20160324,000000,67.6409000,67.6409000,67.6409000,67.6409000,0
20160325,000000,68.9328000,68.9328000,68.9328000,68.9328000,0
20160326,000000,68.4346000,68.4346000,68.4346000,68.4346000,0
20160329,000000,67.7807000,67.7807000,67.7807000,67.7807000,0
20160330,000000,68.7549000,68.7549000,68.7549000,68.7549000,0
20160331,000000,67.6076000,67.6076000,67.6076000,67.6076000,0
20160401,000000,67.8552000,67.8552000,67.8552000,67.8552000,0
20160402,000000,67.1410000,67.1410000,67.1410000,67.1410000,0
20160405,000000,68.6753000,68.6753000,68.6753000,68.6753000,0
20160406,000000,68.8901000,68.8901000,68.8901000,68.8901000,0
20160407,000000,68.5215000,68.5215000,68.5215000,68.5215000,0
20160408,000000,67.7960000,67.7960000,67.7960000,67.7960000,0
20160409,000000,67.4662000,67.4662000,67.4662000,67.4662000,0
20160412,000000,67.1250000,67.1250000,67.1250000,67.1250000,0
20160413,000000,66.3456000,66.3456000,66.3456000,66.3456000,0
20160414,000000,65.7662000,65.7662000,65.7662000,65.7662000,0
20160415,000000,66.4954000,66.4954000,66.4954000,66.4954000,0
20160416,000000,66.0452000,66.0452000,66.0452000,66.0452000,0
20160419,000000,68.2724000,68.2724000,68.2724000,68.2724000,0
20160420,000000,65.6474000,65.6474000,65.6474000,65.6474000,0
20160421,000000,66.0364000,66.0364000,66.0364000,66.0364000,0
20160422,000000,65.0254000,65.0254000,65.0254000,65.0254000,0
20160423,000000,66.2198000,66.2198000,66.2198000,66.2198000,0
20160426,000000,66.6295000,66.6295000,66.6295000,66.6295000,0
20160427,000000,66.4559000,66.4559000,66.4559000,66.4559000,0
20160428,000000,65.1618000,65.1618000,65.1618000,65.1618000,0
20160429,000000,65.1133000,65.1133000,65.1133000,65.1133000,0
20160430,000000,64.3334000,64.3334000,64.3334000,64.3334000,0
20160505,000000,66.1718000,66.1718000,66.1718000,66.1718000,0
20160506,000000,65.8918000,65.8918000,65.8918000,65.8918000,0
20160507,000000,66.1928000,66.1928000,66.1928000,66.1928000,0
20160511,000000,66.3277000,66.3277000,66.3277000,66.3277000,0
20160512,000000,66.2428000,66.2428000,66.2428000,66.2428000,0
20160513,000000,64.9607000,64.9607000,64.9607000,64.9607000,0
20160514,000000,64.9306000,64.9306000,64.9306000,64.9306000,0
20160517,000000,64.8895000,64.8895000,64.8895000,64.8895000,0
20160518,000000,64.5138000,64.5138000,64.5138000,64.5138000,0
20160519,000000,65.0641000,65.0641000,65.0641000,65.0641000,0
20160520,000000,66.2110000,66.2110000,66.2110000,66.2110000,0
20160521,000000,66.3775000,66.3775000,66.3775000,66.3775000,0
20160524,000000,67.0475000,67.0475000,67.0475000,67.0475000,0
20160525,000000,67.0493000,67.0493000,67.0493000,67.0493000,0
20160526,000000,65.8949000,65.8949000,65.8949000,65.8949000,0
